Record,Location,Title,Job Type,Sex,Classification,Supervisor,Last Eval,Q1 Number,Q2,Q3,Q4,Q5,Q7,Q8,Supervisor,Q2 Number,Q3 Number,Q4 Number,Q5 Number,Q7 Number,Q8 Number
10001255,California,Technician - Production,Full-Time,Female,Production,No,Satisfactory,3,No,strongly disagree,Agree,Disagree,,Strongly Disagree,N,0,-2,1,-1,,-2
10001256,New Hampshire,Technician - Building Services,Full-Time,Female,Production,No,Outstanding,2,Yes,disagree,Strongly Agree,Strongly Disagree,,Strongly Disagree,N,1,-1,2,-2,,-2
10001257,New Hampshire,Technician - Production,Full-Time,Male,Production,No,Outstanding,4,Yes,disagree,Disagree,Disagree,,Agree,N,1,-1,-1,-1,,1
10001258,Illinois,Technician - Aftermarket,Full-Time,Male,Production,No,Poor,4,No,agree,Agree,Strongly Disagree,,Disagree,N,0,1,1,-2,,-1
10001259,Florida,Technician - Building Services,Full-Time,Male,Production,No,Satisfactory,4,No,disagree,Agree,Disagree,,Disagree,N,0,-1,1,-1,,-1
10001260,New York,Technician - Aftermarket,Full-Time,Male,Production,No,Outstanding,4,Yes,agree,Strongly Disagree,Agree,,Disagree,N,1,1,-2,1,,-1
10001261,California,Technician - Production,Part-Time,Male,Production,Yes,Satisfactory,3,Yes,agree,Disagree,Disagree,Strongly Disagree,,Y,1,1,-1,-1,-2,
10001262,Florida,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,Yes,disagree,Disagree,Disagree,,Strongly Disagree,N,1,-1,-1,-1,,-2
10001263,Virginia,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,Yes,agree,Strongly Agree,Strongly Disagree,,Strongly Disagree,N,1,1,2,-2,,-2
10001264,Texas,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,Yes,strongly agree,Strongly Disagree,Disagree,,Disagree,N,1,2,-2,-1,,-1
10001265,Florida,Technician - Production,Full-Time,Male,Production,Yes,Satisfactory,4,Yes,disagree,Strongly Agree,Strongly Agree,Strongly Disagree,,Y,1,-1,2,2,-2,
10001266,New Hampshire,Team Lead,Full-Time,Male,Client/Support,Yes,Satisfactory,4,No,strongly disagree,Strongly Agree,Disagree,Disagree,,Y,0,-2,2,-1,-1,
10001267,Virginia,IT/Support,Full-Time,Male,Client/Support,No,Satisfactory,3,Yes,disagree,Disagree,Disagree,,Disagree,N,1,-1,-1,-1,,-1
10001268,New York,Team Lead,Full-Time,Male,Client/Support,Yes,Outstanding,4,Yes,disagree,Disagree,Agree,Disagree,,Y,1,-1,-1,1,-1,
10001269,Florida,Sales - After Market,Full-Time,Female,Client/Support,No,Satisfactory,3,Yes,agree,Strongly Disagree,Disagree,,Disagree,N,1,1,-2,-1,,-1
10001270,Virginia,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,Yes,strongly disagree,Strongly Disagree,Disagree,,Strongly Disagree,N,1,-2,-2,-1,,-2
10001271,Florida,Technician - Aftermarket,Full-Time,Male,Production,No,Outstanding,4,No,agree,Strongly Disagree,Strongly Disagree,,Disagree,N,0,1,-2,-2,,-1
10001272,California,Director,Full-Time,Female,Admin,Yes,Poor,4,No,disagree,Agree,Disagree,Strongly Agree,,Y,0,-1,1,-1,2,
10001273,New Hampshire,Technician - Production,Full-Time,Male,Production,Yes,Satisfactory,4,Yes,strongly disagree,Agree,Agree,Strongly Disagree,,Y,1,-2,1,1,-2,
10001274,Texas,Technician - Production,Full-Time,Male,Production,No,Poor,2,Yes,strongly disagree,Agree,Strongly Disagree,,Disagree,N,1,-2,1,-2,,-1
10001275,New York,Sales - Client Support,Full-Time,Male,Client/Support,No,Satisfactory,2,Yes,strongly agree,Agree,Disagree,,Strongly Agree,N,1,2,1,-1,,2
10001276,Texas,Technician - Aftermarket,Full-Time,Female,Production,No,Satisfactory,3,No,disagree,Strongly Agree,Disagree,,Disagree,N,0,-1,2,-1,,-1
10001277,New Hampshire,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,Yes,strongly disagree,Strongly Disagree,Disagree,,Disagree,N,1,-2,-2,-1,,-1
10001278,Florida,Technician - Production,Full-Time,Male,Production,No,Poor,1,No,disagree,Strongly Agree,Disagree,,Disagree,N,0,-1,2,-1,,-1
10001279,New Hampshire,Technician - Production,Full-Time,Male,Production,No,Poor,2,Yes,disagree,Agree,Disagree,,Disagree,N,1,-1,1,-1,,-1
10001280,Florida,Technician - Aftermarket,Full-Time,Male,Production,No,Satisfactory,4,No,agree,Agree,Disagree,,Strongly Agree,N,0,1,1,-1,,2
10001281,Texas,Sales - Client Support,Full-Time,Male,Client/Support,No,Satisfactory,4,Yes,disagree,Strongly Disagree,Strongly Disagree,,Disagree,N,1,-1,-2,-2,,-1
10001282,California,Project Manager,Full-Time,Male,Admin,No,Satisfactory,3,No,strongly disagree,Agree,Disagree,,Disagree,N,0,-2,1,-1,,-1
10001283,Florida,Engineering - Production,Full-Time,Male,Production,No,Satisfactory,4,Yes,agree,Agree,Strongly Disagree,,Disagree,N,1,1,1,-2,,-1
10001284,Illinois,IT/Support,Full-Time,Female,Client/Support,No,Satisfactory,3,Yes,disagree,Strongly Agree,Disagree,,Strongly Disagree,N,1,-1,2,-1,,-2
10001285,Florida,Engineering - Production,Full-Time,Male,Production,No,Poor,3,Yes,disagree,Strongly Agree,Strongly Agree,,Disagree,N,1,-1,2,2,,-1
10001286,Illinois,Technician - Production,Full-Time,Male,Production,No,Satisfactory,2,Yes,disagree,Strongly Disagree,Disagree,,Disagree,N,1,-1,-2,-1,,-1
10001287,California,Technician - Production,Full-Time,Male,Production,No,Satisfactory,3,No,disagree,Strongly Disagree,Strongly Agree,,Strongly Disagree,N,0,-1,-2,2,,-2
10001288,Florida,IT/Support,Full-Time,Female,Client/Support,No,Satisfactory,4,Yes,agree,Strongly Agree,Disagree,,Strongly Disagree,N,1,1,2,-1,,-2
10001289,Virginia,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,No,agree,Disagree,Disagree,,Strongly Agree,N,0,1,-1,-1,,2
10001290,California,IT/Support,Full-Time,Male,Client/Support,No,Satisfactory,4,Yes,agree,Strongly Disagree,Disagree,,Strongly Disagree,N,1,1,-2,-1,,-2
10001291,California,Technician - Production,Full-Time,Male,Production,No,Outstanding,3,Yes,disagree,Disagree,Strongly Agree,,Strongly Disagree,N,1,-1,-1,2,,-2
10001292,Virginia,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,No,agree,Disagree,Strongly Disagree,,Strongly Disagree,N,0,1,-1,-2,,-2
10001293,California,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,Yes,agree,Agree,Agree,,Disagree,N,1,1,1,1,,-1
10001294,Florida,Technician - Aftermarket,Full-Time,Male,Production,No,Satisfactory,4,Yes,strongly agree,Strongly Disagree,Disagree,,Disagree,N,1,2,-2,-1,,-1
10001295,Virginia,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,Yes,disagree,Agree,Strongly Agree,,Strongly Disagree,N,1,-1,1,2,,-2
10001296,California,Sales - After Market,Full-Time,Female,Client/Support,No,Satisfactory,3,Yes,agree,Disagree,Disagree,,Disagree,N,1,1,-1,-1,,-1
10001297,New Hampshire,Sales - After Market,Full-Time,Female,Client/Support,No,Satisfactory,4,Yes,strongly agree,Disagree,Agree,,Disagree,N,1,2,-1,1,,-1
10001298,Florida,IT/Support,Full-Time,Male,Client/Support,No,Poor,2,No,disagree,Strongly Disagree,Agree,,Disagree,N,0,-1,-2,1,,-1
10001299,Florida,Technician - Production,Full-Time,Male,Production,No,Outstanding,4,Yes,strongly agree,Disagree,Disagree,,Disagree,N,1,2,-1,-1,,-1
10001300,Florida,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,Yes,strongly disagree,Disagree,Disagree,,Disagree,N,1,-2,-1,-1,,-1
10001301,Texas,Sales - After Market,Full-Time,Male,Client/Support,No,Satisfactory,4,Yes,agree,Disagree,Strongly Disagree,,Disagree,N,1,1,-1,-2,,-1
10001302,New York,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,Yes,agree,Strongly Disagree,Disagree,,Strongly Disagree,N,1,1,-2,-1,,-2
10001303,Florida,Engineering - Production,Full-Time,Female,Admin,No,Satisfactory,4,Yes,disagree,Disagree,Strongly Disagree,,Disagree,N,1,-1,-1,-2,,-1
10001304,New York,Technician - Production,Full-Time,Male,Production,No,Satisfactory,3,No,disagree,Strongly Agree,Strongly Disagree,,Strongly Disagree,N,0,-1,2,-2,,-2
10001305,New Hampshire,Technician - Production,Full-Time,Male,Production,No,Outstanding,4,Yes,disagree,Agree,Disagree,,Strongly Disagree,N,1,-1,1,-1,,-2
10001306,Texas,Sales - After Market,Full-Time,Female,Client/Support,No,Satisfactory,3,Yes,agree,Agree,Disagree,,Strongly Disagree,N,1,1,1,-1,,-2
10001307,New York,Technician - Aftermarket,Full-Time,Female,Production,No,Outstanding,2,No,disagree,Strongly Agree,Strongly Disagree,,Strongly Agree,N,0,-1,2,-2,,2
10001308,Illinois,Technician - Maintenance,Full-Time,Male,Production,No,Satisfactory,4,No,disagree,Strongly Disagree,Disagree,,Disagree,N,0,-1,-2,-1,,-1
10001309,Florida,Sales - After Market,Full-Time,Male,Client/Support,Yes,Satisfactory,3,Yes,agree,Agree,Disagree,Disagree,,Y,1,1,1,-1,-1,
10001310,Illinois,Sales - Client Support,Full-Time,Female,Client/Support,No,Satisfactory,3,Yes,agree,Strongly Agree,Disagree,,Disagree,N,1,1,2,-1,,-1
10001311,Texas,IT/Support,Full-Time,Male,Client/Support,No,Satisfactory,4,Yes,agree,Disagree,Strongly Agree,,Disagree,N,1,1,-1,2,,-1
10001312,Florida,Technician - Production,Full-Time,Male,Production,Yes,Satisfactory,4,Yes,strongly agree,Strongly Agree,Strongly Agree,Disagree,,Y,1,2,2,2,-1,
10001313,New Hampshire,Director,Full-Time,Male,Admin,Yes,Satisfactory,3,Yes,agree,Disagree,Disagree,Agree,,Y,1,1,-1,-1,1,
10001314,Florida,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,Yes,strongly disagree,Disagree,Disagree,,Strongly Agree,N,1,-2,-1,-1,,2
10001315,Florida,Director,Full-Time,Male,Admin,Yes,Satisfactory,3,Yes,agree,Strongly Disagree,Strongly Disagree,Disagree,,Y,1,1,-2,-2,-1,
10001316,New Hampshire,Team Lead,Full-Time,Female,Client/Support,Yes,Satisfactory,2,Yes,agree,Disagree,Agree,Strongly Disagree,,Y,1,1,-1,1,-2,
10001317,Texas,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,No,strongly agree,Strongly Agree,Disagree,,Disagree,N,0,2,2,-1,,-1
10001318,Florida,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,Yes,agree,Strongly Agree,Strongly Agree,,Strongly Disagree,N,1,1,2,2,,-2
10001319,Florida,Technician - Aftermarket,Full-Time,Male,Production,No,Satisfactory,3,No,agree,Agree,Strongly Agree,,Strongly Disagree,N,0,1,1,2,,-2
10001320,Texas,Engineering - Production,Full-Time,Male,Production,No,Satisfactory,4,Yes,agree,Strongly Disagree,Agree,,Disagree,N,1,1,-2,1,,-1
10001321,Florida,Sales - After Market,Full-Time,Female,Client/Support,No,Satisfactory,3,Yes,agree,Agree,Disagree,,Strongly Disagree,N,1,1,1,-1,,-2
10001322,Florida,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,Yes,strongly disagree,Agree,Agree,,Disagree,N,1,-2,1,1,,-1
10001323,Texas,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,Yes,strongly agree,Strongly Disagree,Strongly Agree,,Strongly Agree,N,1,2,-2,2,,2
10001324,Illinois,Project Manager,Full-Time,Male,Admin,No,Satisfactory,4,Yes,strongly disagree,Strongly Disagree,Disagree,,Disagree,N,1,-2,-2,-1,,-1
10001325,Florida,Technician - Aftermarket,Full-Time,Male,Production,No,Satisfactory,3,Yes,agree,Strongly Disagree,Disagree,,Disagree,N,1,1,-2,-1,,-1
10001326,Florida,IT/Support,Full-Time,Female,Client/Support,No,Satisfactory,3,Yes,disagree,Strongly Agree,Strongly Disagree,,Strongly Disagree,N,1,-1,2,-2,,-2
10001327,Texas,IT/Support,Full-Time,Male,Client/Support,No,Satisfactory,4,Yes,disagree,Disagree,Strongly Disagree,,Disagree,N,1,-1,-1,-2,,-1
10001328,California,Technician - Production,Full-Time,Male,Production,No,Satisfactory,2,Yes,disagree,Disagree,Agree,,Strongly Disagree,N,1,-1,-1,1,,-2
10001329,California,Sales - After Market,Full-Time,Female,Client/Support,No,Satisfactory,3,Yes,disagree,Strongly Agree,Agree,,Strongly Disagree,N,1,-1,2,1,,-2
10001330,Florida,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,Yes,agree,Disagree,Strongly Agree,,Disagree,N,1,1,-1,2,,-1
10001331,Texas,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,Yes,disagree,Agree,Agree,,Strongly Disagree,N,1,-1,1,1,,-2
10001332,Texas,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,Yes,disagree,Agree,Disagree,,Strongly Disagree,N,1,-1,1,-1,,-2
10001333,New York,Technician - Production,Full-Time,Male,Production,No,Satisfactory,3,Yes,agree,Agree,Strongly Disagree,,Strongly Disagree,N,1,1,1,-2,,-2
10001334,Illinois,Technician - Production,Part-Time,Male,Production,No,Outstanding,4,Yes,disagree,Disagree,Agree,,Strongly Disagree,N,1,-1,-1,1,,-2
10001335,Virginia,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,Yes,strongly agree,Disagree,Disagree,,Strongly Agree,N,1,2,-1,-1,,2
10001336,Florida,IT/Support,Full-Time,Male,Client/Support,No,Satisfactory,2,Yes,strongly agree,Strongly Disagree,Agree,,Disagree,N,1,2,-2,1,,-1
10001337,New Hampshire,Technician - Production,Full-Time,Male,Production,No,Outstanding,4,Yes,strongly agree,Agree,Disagree,,Strongly Disagree,N,1,2,1,-1,,-2
10001338,Florida,Technician - Production,Full-Time,Male,Production,No,Satisfactory,3,Yes,disagree,Agree,Strongly Agree,,Strongly Disagree,N,1,-1,1,2,,-2
10001339,California,Technician - Production,Part-Time,Male,Production,No,Satisfactory,4,Yes,agree,Strongly Agree,Agree,,Strongly Disagree,N,1,1,2,1,,-2
10001340,New Hampshire,Team Lead,Full-Time,Female,Client/Support,Yes,Satisfactory,3,Yes,strongly disagree,Strongly Disagree,Disagree,Strongly Disagree,,Y,1,-2,-2,-1,-2,
10001341,Texas,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,Yes,disagree,Strongly Disagree,Disagree,,Strongly Disagree,N,1,-1,-2,-1,,-2
10001342,Texas,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,Yes,strongly disagree,Agree,Agree,,Disagree,N,1,-2,1,1,,-1
10001343,New Hampshire,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,No,strongly agree,Disagree,Strongly Disagree,,Disagree,N,0,2,-1,-2,,-1
10001344,New Hampshire,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,Yes,disagree,Strongly Agree,Strongly Disagree,,Strongly Agree,N,1,-1,2,-2,,2
10001345,Texas,Technician - Production,Part-Time,Male,Production,No,Satisfactory,4,No,strongly disagree,Agree,Disagree,,Strongly Disagree,N,0,-2,1,-1,,-2
10001346,New Hampshire,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,Yes,disagree,Strongly Agree,Disagree,,Disagree,N,1,-1,2,-1,,-1
10001347,Florida,Team Lead,Full-Time,Male,Client/Support,Yes,Satisfactory,4,No,disagree,Disagree,Agree,Disagree,,Y,0,-1,-1,1,-1,
10001348,California,IT/Support,Full-Time,Female,Client/Support,No,Poor,1,Yes,disagree,Strongly Disagree,Disagree,,Strongly Disagree,N,1,-1,-2,-1,,-2
10001349,Virginia,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,Yes,strongly disagree,Disagree,Disagree,,Strongly Disagree,N,1,-2,-1,-1,,-2
10001350,Virginia,Technician - Aftermarket,Part-Time,Female,Production,Yes,Satisfactory,3,Yes,strongly disagree,Agree,Agree,Disagree,,Y,1,-2,1,1,-1,
10001351,Texas,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,Yes,disagree,Strongly Agree,Strongly Disagree,,Strongly Disagree,N,1,-1,2,-2,,-2
10001352,Florida,Technician - Production,Full-Time,Male,Production,No,Satisfactory,3,Yes,agree,Agree,Agree,,Strongly Disagree,N,1,1,1,1,,-2
10001353,California,Sales - After Market,Full-Time,Female,Client/Support,No,Satisfactory,3,Yes,disagree,Strongly Disagree,Disagree,,Strongly Disagree,N,1,-1,-2,-1,,-2
10001354,New Hampshire,Technician - Production,Full-Time,Male,Production,No,Outstanding,3,Yes,disagree,Strongly Disagree,Strongly Disagree,,Disagree,N,1,-1,-2,-2,,-1
10001355,New Hampshire,Sales - After Market,Full-Time,Male,Client/Support,No,Satisfactory,4,Yes,strongly disagree,Strongly Disagree,Agree,,Disagree,N,1,-2,-2,1,,-1
10001356,New Hampshire,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,Yes,disagree,Strongly Agree,Disagree,,Strongly Disagree,N,1,-1,2,-1,,-2
10001357,Florida,Sales - Client Support,Full-Time,Female,Client/Support,No,Outstanding,2,No,agree,Disagree,Disagree,,Strongly Agree,N,0,1,-1,-1,,2
10001358,Illinois,Sales - Client Support,Full-Time,Female,Client/Support,No,Satisfactory,3,Yes,strongly disagree,Strongly Agree,Disagree,,Disagree,N,1,-2,2,-1,,-1
10001359,Texas,Engineering - Production,Full-Time,Male,Production,No,Satisfactory,4,Yes,agree,Disagree,Strongly Disagree,,Strongly Disagree,N,1,1,-1,-2,,-2
10001360,Florida,Technician - Production,Full-Time,Male,Production,No,Poor,1,No,disagree,Strongly Disagree,Strongly Agree,,Strongly Disagree,N,0,-1,-2,2,,-2
10001361,Texas,Technician - Production,Full-Time,Male,Production,No,Outstanding,4,Yes,disagree,Agree,Agree,,Strongly Agree,N,1,-1,1,1,,2
10001362,Virginia,Team Lead,Full-Time,Male,Client/Support,Yes,Outstanding,4,No,strongly disagree,Disagree,Disagree,Strongly Disagree,,Y,0,-2,-1,-1,-2,
10001363,Virginia,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,Yes,agree,Strongly Agree,Strongly Disagree,,Disagree,N,1,1,2,-2,,-1
10001364,Texas,Sales - After Market,Full-Time,Male,Client/Support,No,Satisfactory,4,No,agree,Strongly Agree,Agree,,Strongly Disagree,N,0,1,2,1,,-2
10001365,California,Technician - Production,Full-Time,Male,Production,No,Outstanding,2,No,agree,Agree,Disagree,,Disagree,N,0,1,1,-1,,-1
10001366,Illinois,Engineering - Production,Part-Time,Male,Production,No,Satisfactory,3,Yes,disagree,Strongly Agree,Disagree,,Strongly Disagree,N,1,-1,2,-1,,-2
10001367,Florida,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,No,agree,Disagree,Strongly Agree,,Strongly Disagree,N,0,1,-1,2,,-2
10001368,New Hampshire,Engineering - Production,Full-Time,Male,Production,No,Satisfactory,4,Yes,disagree,Strongly Disagree,Strongly Agree,,Agree,N,1,-1,-2,2,,1
10001369,California,Technician - Aftermarket,Full-Time,Male,Production,No,Satisfactory,4,No,strongly disagree,Strongly Agree,Disagree,,Strongly Disagree,N,0,-2,2,-1,,-2
10001370,California,Technician - Aftermarket,Full-Time,Male,Production,No,Outstanding,4,No,strongly disagree,Strongly Agree,Disagree,,Agree,N,0,-2,2,-1,,1
10001371,New Hampshire,Technician - Production,Full-Time,Male,Production,No,Outstanding,4,Yes,disagree,Disagree,Agree,,Disagree,N,1,-1,-1,1,,-1
10001372,Virginia,Technician - Building Services,Full-Time,Male,Production,No,Satisfactory,4,Yes,strongly disagree,Agree,Disagree,,Strongly Disagree,N,1,-2,1,-1,,-2
10001373,Florida,Technician - Maintenance,Part-Time,Male,Production,No,Satisfactory,3,Yes,disagree,Strongly Agree,Strongly Disagree,,Strongly Disagree,N,1,-1,2,-2,,-2
10001374,New Hampshire,Technician - Production,Full-Time,Male,Production,No,Outstanding,4,Yes,strongly agree,Strongly Agree,Agree,,Strongly Disagree,N,1,2,2,1,,-2
10001375,Virginia,Technician - Production,Full-Time,Male,Production,No,Outstanding,3,Yes,agree,Disagree,Disagree,,Strongly Disagree,N,1,1,-1,-1,,-2
10001376,Florida,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,Yes,disagree,Disagree,Strongly Agree,,Disagree,N,1,-1,-1,2,,-1
10001377,Texas,Technician - Production,Full-Time,Male,Production,No,Satisfactory,2,Yes,agree,Disagree,Agree,,Disagree,N,1,1,-1,1,,-1
10001378,New Hampshire,Sales - After Market,Full-Time,Male,Client/Support,No,Satisfactory,4,Yes,disagree,Strongly Agree,Strongly Agree,,Strongly Disagree,N,1,-1,2,2,,-2
10001379,New Hampshire,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,No,agree,Disagree,Agree,,Strongly Disagree,N,0,1,-1,1,,-2
10001380,Texas,Sales - After Market,Full-Time,Female,Client/Support,No,Poor,2,No,disagree,Strongly Agree,Disagree,,Strongly Agree,N,0,-1,2,-1,,2
10001381,Florida,Technician - Aftermarket,Full-Time,Male,Production,No,Satisfactory,4,Yes,strongly agree,Agree,Disagree,,Disagree,N,1,2,1,-1,,-1
10001382,New Hampshire,Technician - Building Services,Full-Time,Male,Production,No,Satisfactory,3,No,disagree,Disagree,Disagree,,Disagree,N,0,-1,-1,-1,,-1
10001383,Illinois,Sales - Client Support,Full-Time,Female,Client/Support,No,Outstanding,2,Yes,disagree,Agree,Disagree,,Agree,N,1,-1,1,-1,,1
10001384,New Hampshire,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,No,agree,Disagree,Disagree,,Strongly Disagree,N,0,1,-1,-1,,-2
10001385,New Hampshire,Technician - Aftermarket,Full-Time,Male,Production,No,Poor,3,Yes,disagree,Agree,Disagree,,Strongly Agree,N,1,-1,1,-1,,2
10001386,Florida,Sales - Client Support,Full-Time,Male,Client/Support,No,Satisfactory,2,No,strongly disagree,Disagree,Strongly Agree,,Disagree,N,0,-2,-1,2,,-1
10001387,Texas,Technician - Production,Full-Time,Male,Production,No,Poor,2,No,agree,Strongly Agree,Agree,,Strongly Agree,N,0,1,2,1,,2
10001388,Virginia,IT/Support,Full-Time,Male,Client/Support,No,Satisfactory,3,Yes,disagree,Disagree,Disagree,,Disagree,N,1,-1,-1,-1,,-1
10001389,Illinois,Director,Full-Time,Female,Admin,Yes,Satisfactory,3,Yes,agree,Strongly Agree,Disagree,Strongly Disagree,,Y,1,1,2,-1,-2,
10001390,Texas,Sales - Client Support,Full-Time,Female,Client/Support,No,Satisfactory,3,Yes,disagree,Strongly Disagree,Disagree,,Strongly Disagree,N,1,-1,-2,-1,,-2
10001391,Florida,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,Yes,disagree,Disagree,Disagree,,Strongly Agree,N,1,-1,-1,-1,,2
10001392,Texas,Technician - Aftermarket,Full-Time,Male,Production,No,Satisfactory,4,Yes,strongly disagree,Disagree,Disagree,,Disagree,N,1,-2,-1,-1,,-1
10001393,California,Technician - Production,Full-Time,Male,Production,No,Outstanding,4,Yes,disagree,Agree,Disagree,,Disagree,N,1,-1,1,-1,,-1
10001394,Florida,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,No,disagree,Agree,Strongly Disagree,,Strongly Disagree,N,0,-1,1,-2,,-2
10001395,Virginia,Project Manager,Full-Time,Female,Admin,No,Outstanding,3,Yes,strongly agree,Agree,Strongly Disagree,,Strongly Agree,N,1,2,1,-2,,2
10001396,Florida,IT/Support,Full-Time,Female,Client/Support,No,Satisfactory,4,Yes,disagree,Agree,Disagree,,Disagree,N,1,-1,1,-1,,-1
10001397,California,Project Manager,Full-Time,Female,Admin,Yes,Satisfactory,3,Yes,agree,Disagree,Disagree,Disagree,,Y,1,1,-1,-1,-1,
10001398,Texas,Technician - Aftermarket,Full-Time,Female,Production,No,Satisfactory,4,Yes,agree,Disagree,Disagree,,Strongly Disagree,N,1,1,-1,-1,,-2
